"psu","zone","type","pop"
7116,7,1,40
7117,7,1,14
7118,7,1,28
7119,7,1,33
7120,7,1,35
7121,7,1,100
7122,7,1,6
7123,7,1,43
7124,7,1,80
7125,7,1,31
7126,7,1,91
7127,7,1,22
7128,7,1,74
7129,7,1,21
7130,7,1,65
7131,7,1,52
7132,7,1,123
7133,7,1,90
7201,7,2,177.547622680664
7202,7,2,354.324157714844
7203,7,2,638.391174316406
7204,7,2,840.084655761719
7205,7,2,1191.53845214844
7206,7,2,216.474945068359
7207,7,2,398.926391601562
7208,7,2,843.295654296875
7209,7,2,1200.43603515625
7210,7,2,1168.77172851562
7211,7,2,1264.63439941406
7212,7,2,246.430267333984
7213,7,2,683.5498046875
7214,7,2,825.508361816406
7215,7,2,869.580139160156
7216,7,2,977.523376464844
7217,7,2,917.468444824219
7218,7,2,1006.94805908203
7219,7,2,219.435287475586
7220,7,2,251.473342895508
7221,7,2,677.708374023438
7222,7,2,635.971862792969
7223,7,2,378.280090332031
7224,7,2,432.808349609375
7225,7,2,255.607833862305
7226,7,2,854.538024902344
7227,7,2,790.410888671875
7228,7,2,211.350936889648
7229,7,2,843.983154296875
7230,7,2,834.62109375
7231,7,2,224.491714477539
7232,7,2,369.184783935547
7233,7,2,866.717224121094
8101,8,1,95
8102,8,1,70
8103,8,1,31
8104,8,1,73
8105,8,1,31
8106,8,1,33
8107,8,1,62
8108,8,1,83
8109,8,1,141
8110,9,1,306
8111,9,1,116
8112,8,1,63
8113,8,1,43
8114,9,1,36
8115,9,1,76
8116,8,1,38
8117,8,1,73
8118,8,1,97
8119,8,1,303
8120,8,1,184
8121,8,1,70
8122,8,1,16
8123,8,1,27
8124,8,1,35
8125,8,1,60
8126,8,1,109
8127,8,1,129
8128,8,1,30
8129,8,1,214
8130,8,1,52
8131,8,1,27
8132,8,1,46
8133,8,1,52
8201,8,2,712.671630859375
8202,8,2,571.222351074219
8203,8,2,712.559387207031
8204,8,2,2160.74658203125
8205,8,2,1916.33093261719
8206,8,2,655.036376953125
8207,8,2,1530.76049804688
8208,8,2,2043.73095703125
8209,8,2,1767.69165039062
8210,8,2,784.5087890625
8211,8,2,637.125732421875
8212,8,2,1313.12585449219
8213,8,2,1282.05334472656
8214,8,2,2102.6181640625
8215,8,2,2112.599609375
8216,8,2,2118.65698242188
8217,8,2,796.487060546875
8218,8,2,1694.69677734375
8219,8,2,1632.12939453125
8220,8,2,2272.72680664062
8221,8,2,2202.21264648438
8222,8,2,690.459777832031
8223,8,2,615.003173828125
8224,8,2,1245.41662597656
8225,8,2,2233.30493164062
